client,cohort,bloom,prr,irr
c1,62,00000100000000000000000000000000,10010100000010100100000010010010,10110110100000111000110110010000
c1,62,00000100000000000000000000000000,10010100000010100100000010010010,10010110100010100100100011010010
c1,62,00000000000000000000000000001000,11100000010001101001010000011001,11101000110001101101011100011011
c1,62,00000000000000000000000000000010,00001000100000100010000000100110,00100000100010100110000110101110
c1,62,00000000000000000000000000000100,10000110000011010010000001001110,00011110010010010111010000000110
c1,62,00000000010000000000000000000000,00110000011011000011001000001010,00110001000011000011010001010010
c1,62,00000000000000000010000000000000,00010000000001000110000100000101,00000011010001101101010000110101
c1,62,00000000000000000000000000000010,00001000100000100010000000100110,01111000100000100010000001101111
c1,62,00000000000000000000000000000010,00001000100000100010000000100110,11111000000000111110000100000110
c1,62,00000000000000000000000000000010,00001000100000100010000000100110,00001101110111100000000000000110
c2,12,01000000000000000000000000000000,01011000000000010000001001000100,01111100110011101000101001000000
c2,12,01000000000000000000000000000000,01011000000000010000001001000100,01011101001101010000000001000101
c2,12,00000000000000000100000000000000,00000010000000000100000100011000,01000010111000010100000010111101
c2,12,01000000000000000000000000000000,01011000000000010000001001000100,01011100000010011100000001000100
c2,12,00001000000000000000000000000000,10111010000100100000100000001100,11111110100100100101110101001000
c2,12,10000000000000000000000000000000,01000111010000001100000010100101,01110111100000101100010010100100
c2,12,01000000000000000000000000000000,01011000000000010000001001000100,01010010010000010000000000000100
c2,12,00000000000000000100000000000000,00000010000000000100000100011000,00000110100000010110000100010000
c2,12,00010000000000000000000000000000,00001000010111010100000100000100,00001101010111010101000110000110
c2,12,00000010000000000000000000000000,11110000000010001000010001001010,11010100000010011010011000001110
c3,32,00000000000000100000000000000000,00000010000100110000000000011000,00100010001000111000000001011000
c3,32,00000000000000000000100000000000,00000000010000000000110000000100,00100000010000110100111100100111
c3,32,00100000000000000000000000000000,10110001000101001101110001010010,11010001000100001000110011110110
c3,32,00000100000000000000000000000000,00000100110000010000000110011001,01000101000000000000000101001001
c3,32,00000000000100000000000000000000,00000010000000000100100100110000,00100011000000000100000000100001
c3,32,00000100000000000000000000000000,00000100110000010000000110011001,10000101010000011001110110001001
c3,32,00000000000000000000000000001000,10000000000000100010000011011000,10100000000010101110000011011000
c3,32,00000000000000000000000000001000,10000000000000100010000011011000,10000000000000001110000001001110
c3,32,00000000000000000000000000000010,00010000000010000110100010001011,01010001010010000010110110001010
c3,32,00001000000000000000000000000000,00001000011110000000000011101010,00101100001100000110000001011110
c4,18,00000000000000000000000000000100,10111000011010010000010001010100,10010000011010000101011000110111
c4,18,00000000000000000000000000001000,10010110101000011000000100001000,10000101001000000000001011011011
c4,18,00000000100000000000000000000000,00000100100001100001001011001010,00000100100011101000110010001010
c4,18,00010000000000000000000000000000,00101000011010000000001000001011,00101100011110000100011000001111
c4,18,00000000000000001000000000000000,00100000000000001000000000000100,00100000100100001001101001000100
c4,18,00000000000000000010000000000000,11011010000000101110110110001101,01001011100000001110110110011000
c4,18,00000000000000001000000000000000,00100000000000001000000000000100,10100000011000101001010001100100
c4,18,00000000000000000000000000010000,11100000001000001101000010010000,11110000001000101001010110000000
c4,18,00000000000000001000000000000000,00100000000000001000000000000100,00100001101001101000100101100100
c4,18,01000000000000000000000000000000,01110001000000100000100011010001,00001001000100000000100111110101
