"string","count"
"v1",464
"v10",318
"v100",7
"v11",299
"v12",275
"v13",275
"v14",257
"v15",241
"v16",225
"v17",217
"v18",225
"v19",202
"v2",479
"v20",181
"v21",202
"v22",187
"v23",150
"v24",153
"v25",153
"v26",143
"v27",109
"v28",122
"v29",119
"v3",451
"v30",129
"v31",116
"v32",105
"v33",98
"v34",75
"v35",87
"v36",70
"v37",93
"v38",80
"v39",66
"v4",410
"v40",73
"v41",72
"v42",67
"v43",62
"v44",59
"v45",59
"v46",50
"v47",47
"v48",42
"v49",47
"v5",412
"v50",46
"v51",40
"v52",40
"v53",31
"v54",36
"v55",37
"v56",47
"v57",26
"v58",22
"v59",35
"v6",393
"v60",27
"v61",14
"v62",18
"v63",15
"v64",16
"v65",9
"v66",18
"v67",22
"v68",20
"v69",16
"v7",355
"v70",17
"v71",19
"v72",20
"v73",17
"v74",19
"v75",9
"v76",20
"v77",13
"v78",8
"v79",6
"v8",345
"v80",4
"v81",7
"v82",7
"v83",8
"v84",6
"v85",14
"v86",8
"v87",12
"v88",3
"v89",2
"v9",332
"v90",11
"v91",5
"v92",4
"v93",7
"v94",6
"v95",2
"v96",3
"v97",4
"v98",3
"v99",3
